key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
,,,,,,,,,,,,,FF,,,,,,,,1.738,,,,,,,,,,,,,,,,,,,,,,60e544249db8e7a552141a95,60e562ef1b6a9b637eb94bef,2021-07-07_10h26.45.475,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4236,30,-60,1,0,0,response3disk,,4,3,4,1,0,0,rectangle,3,4,1,0,0,3,4,1,0,0,0,3,3,89,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.1337,,,,,,,,,,,,,,,,,,,,,,60e544249db8e7a552141a95,60e562ef1b6a9b637eb94bef,2021-07-07_10h26.45.475,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3744,93,-45,1,0,0,response3disk,,5,4,-10,1,0,0,rectangle,4,-10,1,0,0,4,-10,1,0,0,0,4,4,92,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2346,,,,,,,,,,,,,,,,,,,,,,60e544249db8e7a552141a95,60e562ef1b6a9b637eb94bef,2021-07-07_10h26.45.475,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2206,-55,109,1,0,0,response7disk,,0,-3,3,1,0,0,rectangle,-3,3,1,0,0,-3,3,1,0,0,0,5,5,43,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4187,,,,,,,,,,,,,,,,,,,,,,60e544249db8e7a552141a95,60e562ef1b6a9b637eb94bef,2021-07-07_10h26.45.475,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4253,32,-93,1,0,0,response3disk,,4,-1,12,1,0,0,rectangle,-1,12,1,0,0,-1,12,1,0,0,0,6,6,64,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5359,,,,,,,,,,,,,,,,,,,,,,60e544249db8e7a552141a95,60e562ef1b6a9b637eb94bef,2021-07-07_10h26.45.475,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3375,79,35,1,0,0,response1disk,,6,1,-11,1,0,0,rectangle,1,-11,1,0,0,1,-11,1,0,0,0,7,7,34,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1175,,,,,,,,,,,,,,,,,,,,,,60e544249db8e7a552141a95,60e562ef1b6a9b637eb94bef,2021-07-07_10h26.45.475,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,339,-32,73,1,0,0,response7disk,,0,-10,-4,1,0,0,rectangle,-10,-4,1,0,0,-10,-4,1,0,0,0,8,8,45,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5182,,,,,,,,,,,,,,,,,,,,,,60e544249db8e7a552141a95,60e562ef1b6a9b637eb94bef,2021-07-07_10h26.45.475,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,671,-47,68,1,0,0,response7disk,,0,-15,-5,1,0,0,rectangle,-15,-5,1,0,0,-15,-5,1,0,0,0,9,9,61,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.345,,,,,,,,,,,,,,,,,,,,,,60e544249db8e7a552141a95,60e562ef1b6a9b637eb94bef,2021-07-07_10h26.45.475,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3995,-25,-38,1,0,0,response5disk,,3,-10,0,1,0,0,rectangle,-10,0,1,0,0,-10,0,1,0,0,0,10,10,85,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2287,,,,,,,,,,,,,,,,,,,,,,60e544249db8e7a552141a95,60e562ef1b6a9b637eb94bef,2021-07-07_10h26.45.475,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1535,-23,-49,1,0,0,response5disk,,3,12,9,1,0,0,rectangle,12,9,1,0,0,12,9,1,0,0,0,11,11,131,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3368,,,,,,,,,,,,,,,,,,,,,,60e544249db8e7a552141a95,60e562ef1b6a9b637eb94bef,2021-07-07_10h26.45.475,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3080,-18,43,1,0,0,response7disk,,0,-3,8,1,0,0,rectangle,-3,8,1,0,0,-3,8,1,0,0,0,12,12,11,1,,,,,,,,
