key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
,,,,,,,,,,,,,FF,,,,,,,,0.8539,,,,,,,,,,,,,,,,,,,,,,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,664,30,52,1,0,0,response1disk,,7,-4,-6,1,0,0,rectangle,-4,-6,1,0,0,-4,-6,1,0,0,0,3,3,1,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8317,,,,,,,,,,,,,,,,,,,,,,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2856,38,89,1,0,0,response1disk,,7,-9,-8,1,0,0,rectangle,-9,-8,1,0,0,-9,-8,1,0,0,0,4,4,40,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8499,,,,,,,,,,,,,,,,,,,,,,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2618,39,94,1,0,0,response1disk,,7,5,6,1,0,0,rectangle,5,6,1,0,0,5,6,1,0,0,0,5,5,60,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0325,,,,,,,,,,,,,,,,,,,,,,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1287,41,63,1,0,0,response1disk,,7,9,6,1,0,0,rectangle,9,6,1,0,0,9,6,1,0,0,0,6,6,83,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8593,,,,,,,,,,,,,,,,,,,,,,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3447,36,89,1,0,0,response1disk,,7,0,-6,1,0,0,rectangle,0,-6,1,0,0,0,-6,1,0,0,0,7,7,5,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8202,,,,,,,,,,,,,,,,,,,,,,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1282,54,98,1,0,0,response1disk,,7,8,12,1,0,0,rectangle,8,12,1,0,0,8,12,1,0,0,0,8,8,37,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7842,,,,,,,,,,,,,,,,,,,,,,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,603,40,78,1,0,0,response1disk,,7,0,11,1,0,0,rectangle,0,11,1,0,0,0,11,1,0,0,0,9,9,84,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8023,,,,,,,,,,,,,,,,,,,,,,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,712,40,93,1,0,0,response1disk,,7,4,14,1,0,0,rectangle,4,14,1,0,0,4,14,1,0,0,0,10,10,81,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7861,,,,,,,,,,,,,,,,,,,,,,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3710,51,102,1,0,0,response1disk,,7,-1,9,1,0,0,rectangle,-1,9,1,0,0,-1,9,1,0,0,0,11,11,99,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7344,,,,,,,,,,,,,,,,,,,,,,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1157,31,67,1,0,0,response1disk,,7,3,-2,1,0,0,rectangle,3,-2,1,0,0,3,-2,1,0,0,0,12,12,18,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7701,,,,,,,,,,,,,,,,,,,,,,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2122,45,79,1,0,0,response1disk,,7,8,-7,1,0,0,rectangle,8,-7,1,0,0,8,-7,1,0,0,0,13,13,132,1,,,,,,,,
