key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
,,,,,,,,,,,,,FF,,,,,,,,1.8268,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3581,68,-56,1,0,0,response3disk,,5,10,-6,1,0,0,rectangle,10,-6,1,0,0,,,,,,,10,-6,1,0,0,,0,3,3,61,1,
,,,,,,,,,,,,,FF,,,,,,,,1.2234,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1026,-26,-75,1,0,0,response5disk,,3,7,-1,1,0,0,rectangle,7,-1,1,0,0,,,,,,,7,-1,1,0,0,,0,4,4,60,1,
,,,,,,,,,,,,,FF,,,,,,,,1.0348,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4203,-94,46,1,0,0,response7disk,,1,5,3,1,0,0,rectangle,5,3,1,0,0,,,,,,,5,3,1,0,0,,0,5,5,141,1,
,,,,,,,,,,,,,FF,,,,,,,,1.2981,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2581,82,53,1,0,0,response1disk,,6,0,2,1,0,0,rectangle,0,2,1,0,0,,,,,,,0,2,1,0,0,,0,6,6,130,1,
,,,,,,,,,,,,,FF,,,,,,,,2.1321,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1443,77,-35,1,0,0,response3disk,,5,0,1,1,0,0,rectangle,0,1,1,0,0,,,,,,,0,1,1,0,0,,0,7,7,114,1,
,,,,,,,,,,,,,FF,,,,,,,,2.0693,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2014,50,92,1,0,0,response1disk,,7,4,-1,1,0,0,rectangle,4,-1,1,0,0,,,,,,,4,-1,1,0,0,,0,8,8,96,1,
,,,,,,,,,,,,,FF,,,,,,,,2.2844,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4250,66,-103,1,0,0,response3disk,,4,5,1,1,0,0,rectangle,5,1,1,0,0,,,,,,,5,1,1,0,0,,0,9,9,99,1,
,,,,,,,,,,,,,FF,,,,,,,,1.4793,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1429,-78,-101,1,0,0,response5disk,,3,-15,-3,1,0,0,rectangle,-15,-3,1,0,0,,,,,,,-15,-3,1,0,0,,0,10,10,7,1,
,,,,,,,,,,,,,FF,,,,,,,,4.3613,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1325,85,40,1,0,0,response1disk,,6,-9,0,1,0,0,rectangle,-9,0,1,0,0,,,,,,,-9,0,1,0,0,,0,11,11,8,1,
,,,,,,,,,,,,,FF,,,,,,,,4.2916,,,,,,,,,,,,,,,,,,,,,,60da905f8fa5374e57b4ad71,60e57f8a3d2776f571787c24,2021-07-07_12h20.35.835,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2437,111,48,1,0,0,response1disk,,6,3,-1,1,0,0,rectangle,3,-1,1,0,0,,,,,,,3,-1,1,0,0,,0,12,12,18,1,
