key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name,,id
,,,,,,,,,,,,,FF,,,,,,,,0.4083,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1283,-24.79998893,-36.00000697,1,0,0,response5disk,,3,-27.99998897,-5.600006521,1,0,0,rectangle,-27.99998897,-5.600006521,1,0,0,-27.99998897,-5.600006521,1,0,0,0,39,39,148,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5769,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1077,-43.1999892,-20.80000675,1,0,0,response5disk,,2,-15.19998878,-9.60000658,1,0,0,rectangle,-15.19998878,-9.60000658,1,0,0,-15.19998878,-9.60000658,1,0,0,0,40,40,119,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0694,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,462,-27.99998897,17.59999382,1,0,0,response7disk,,1,3.200011492,-0.800006449,1,0,0,rectangle,3.200011492,-0.800006449,1,0,0,3.200011492,-0.800006449,1,0,0,0,41,41,127,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8684,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,939,37.60006083,-36.00000697,1,0,0,response3disk,,5,-16.79998881,1.599993587,1,0,0,rectangle,-16.79998881,1.599993587,1,0,0,-16.79998881,1.599993587,1,0,0,0,42,42,79,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7086,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2062,-33.59998906,-18.40000671,1,0,0,response5disk,,2,-21.59998888,-4.000006497,1,0,0,rectangle,-21.59998888,-4.000006497,1,0,0,-21.59998888,-4.000006497,1,0,0,0,43,43,114,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9098,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,242,22.40001178,-33.60000694,1,0,0,response3disk,,4,8.000011563,-11.2000066,1,0,0,rectangle,8.000011563,-11.2000066,1,0,0,8.000011563,-11.2000066,1,0,0,0,44,44,113,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9926,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1977,-59.19998944,-17.6000067,1,0,0,response5disk,,2,-29.599989,-4.000006497,1,0,0,rectangle,-29.599989,-4.000006497,1,0,0,-29.599989,-4.000006497,1,0,0,0,45,45,2,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1527,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,269,-15.99998879,-61.60000736,1,0,0,response5disk,,3,-7.199988663,-8.000006557,1,0,0,rectangle,-7.199988663,-8.000006557,1,0,0,-7.199988663,-8.000006557,1,0,0,0,46,46,17,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1742,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3921,-15.99998879,-54.40000725,1,0,0,response5disk,,3,-8.799988687,-9.60000658,1,0,0,rectangle,-8.799988687,-9.60000658,1,0,0,-8.799988687,-9.60000658,1,0,0,0,47,47,115,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2989,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,740,-42.39994036,18.39999384,1,0,0,response7disk,,1,-37.59998912,16.79999381,1,0,0,rectangle,-37.59998912,16.79999381,1,0,0,-37.59998912,16.79999381,1,0,0,0,48,48,3,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0625,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3086,24.0000118,-40.00000703,1,0,0,response3disk,,4,0.800011456,-3.200006485,1,0,0,rectangle,0.800011456,-3.200006485,1,0,0,0.800011456,-3.200006485,1,0,0,0,49,49,146,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7572,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1118,29.60006071,-14.40000665,1,0,0,response3disk,,5,29.60006071,-14.40000665,1,0,0,rectangle,29.60006071,-14.40000665,1,0,0,29.60006071,-14.40000665,1,0,0,0,50,50,156,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7008,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1452,-46.39994042,50.39999431,1,0,0,response7disk,,0,-11.99998873,7.999993682,1,0,0,rectangle,-11.99998873,7.999993682,1,0,0,-11.99998873,7.999993682,1,0,0,0,51,51,142,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9064,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3295,-61.59998947,19.19999385,1,0,0,response7disk,,1,-13.59998876,-2.400006473,1,0,0,rectangle,-13.59998876,-2.400006473,1,0,0,-13.59998876,-2.400006473,1,0,0,0,52,52,147,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7779,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1320,-25.59998894,-36.00000697,1,0,0,response5disk,,3,-10.39993988,-7.200006545,1,0,0,rectangle,-10.39993988,-7.200006545,1,0,0,-10.39993988,-7.200006545,1,0,0,0,53,53,44,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.1089,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3406,40.80001205,28.79999399,1,0,0,response1disk,,6,-7.199988663,7.999993682,1,0,0,rectangle,-51.19998932,-72.80000752,1,0,0,14.40001166,-5.600006521,1,0,0,0,54,54,124,1,,response5disk_3,TRUE,3,3,"[21,309,118,265,116,296,246,55,29,240,62,304,16,177,91,258,185,62,33,136]",9.6828,rectangle,,
,,,,,,,,,,,,,FF,,,,,,,,0.8821,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2288,-55.19998938,-31.2000069,1,0,0,response5disk,,2,10.4000116,7.999993682,1,0,0,rectangle,10.4000116,7.999993682,1,0,0,10.4000116,7.999993682,1,0,0,0,55,55,103,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.6945,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1290,-51.19998932,73.59999466,1,0,0,response7disk,,0,-7.199988663,7.19999367,1,0,0,rectangle,-7.199988663,7.19999367,1,0,0,-7.199988663,7.19999367,1,0,0,0,56,56,125,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.5045,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,4107,-53.59998935,25.59999394,1,0,0,response7disk,,1,-7.999988675,0.799993575,1,0,0,rectangle,-7.999988675,0.799993575,1,0,0,-7.999988675,0.799993575,1,0,0,0,57,57,35,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.4031,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1036,-38.3999403,-32.80000693,1,0,0,response5disk,,2,-23.99998891,-7.200006545,1,0,0,rectangle,-23.99998891,-7.200006545,1,0,0,-23.99998891,-7.200006545,1,0,0,0,58,58,102,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.4557,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,555,-30.39994018,-52.00000721,1,0,0,response5disk,,3,-7.999988675,3.999993622,1,0,0,rectangle,-7.999988675,3.999993622,1,0,0,-7.999988675,3.999993622,1,0,0,0,59,59,60,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.6495,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1508,27.20001185,-33.60000694,1,0,0,response3disk,,4,15.20001167,4.799993634,1,0,0,rectangle,15.20001167,4.799993634,1,0,0,15.20001167,4.799993634,1,0,0,0,60,60,42,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5644,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1648,21.60006059,54.39999437,1,0,0,response1disk,,7,13.60006047,-4.000006497,1,0,0,rectangle,55.20001227,22.3999939,1,0,0,30.4000119,-8.000006557,1,0,0,0,61,61,16,1,,response1disk_3,TRUE,6,6,"[21,309,118,265,116,296,246,55,29,240,62,304,16,177,91,258,185,62,33,136]",1.0961,rectangle,,
,,,,,,,,,,,,,FF,,,,,,,,0.9863,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,4323,51.20001221,-24.00000679,1,0,0,response3disk,,5,19.20001173,-7.200006545,1,0,0,rectangle,19.20001173,-7.200006545,1,0,0,19.20001173,-7.200006545,1,0,0,0,62,62,126,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.5943,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3381,-77.59998971,91.19997051,1,0,0,response7disk,,0,12.00001162,-5.600006521,1,0,0,rectangle,12.00001162,-5.600006521,1,0,0,12.00001162,-5.600006521,1,0,0,0,63,63,87,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.4725,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2524,-95.19998997,33.59999406,1,0,0,response7disk,,1,8.800011575,-9.60000658,1,0,0,rectangle,8.800011575,-9.60000658,1,0,0,8.800011575,-9.60000658,1,0,0,0,64,64,22,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.3679,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2846,-30.39994018,-28.80000687,1,0,0,response5disk,,2,-15.99998879,-6.400006533,1,0,0,rectangle,-15.99998879,-6.400006533,1,0,0,-15.99998879,-6.400006533,1,0,0,0,65,65,121,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.3963,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1695,60.00001234,-29.60000688,1,0,0,response3disk,,5,8.800011575,2.399993598,1,0,0,rectangle,8.800011575,2.399993598,1,0,0,8.800011575,2.399993598,1,0,0,0,66,66,15,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3547,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,4217,32.80001193,60.79999447,1,0,0,response1disk,,7,8.800011575,-4.800006509,1,0,0,rectangle,8.800011575,-4.800006509,1,0,0,8.800011575,-4.800006509,1,0,0,0,67,67,26,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7708,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3493,-68.79998958,31.99999404,1,0,0,response7disk,,1,-3.999988616,-5.600006521,1,0,0,rectangle,-3.999988616,-5.600006521,1,0,0,-3.999988616,-5.600006521,1,0,0,0,68,68,140,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.4441,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1588,63.20001239,27.19996955,1,0,0,response1disk,,6,2.40001148,-7.200006545,1,0,0,rectangle,2.40001148,-7.200006545,1,0,0,2.40001148,-7.200006545,1,0,0,0,69,69,95,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7776,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1944,-23.99998891,-56.80000728,1,0,0,response5disk,,3,-24.79998893,-6.44E-06,1,0,0,rectangle,-24.79998893,-6.44E-06,1,0,0,-24.79998893,-6.44E-06,1,0,0,0,70,70,117,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.6253,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1743,-44.79998922,76.79999471,1,0,0,response7disk,,0,-3.999988616,-5.600006521,1,0,0,rectangle,-3.999988616,-5.600006521,1,0,0,-3.999988616,-5.600006521,1,0,0,0,71,71,58,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5347,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3805,20.80001175,-38.40000701,1,0,0,response3disk,,4,6.400011539,-8.800006568,1,0,0,rectangle,6.400011539,-8.800006568,1,0,0,6.400011539,-8.800006568,1,0,0,0,72,72,153,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4793,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3871,39.20001203,-29.60000688,1,0,0,response3disk,,5,10.4000116,-12.80000663,1,0,0,rectangle,10.4000116,-12.80000663,1,0,0,10.4000116,-12.80000663,1,0,0,0,73,73,130,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9516,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,228,-28.79998899,-47.20000714,1,0,0,response5disk,,3,-14.39993994,9.599993706,1,0,0,rectangle,-14.39993994,9.599993706,1,0,0,-14.39993994,9.599993706,1,0,0,0,74,74,53,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2254,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3139,-53.59998935,-16.80000669,1,0,0,response5disk,,2,-34.39994024,2.399993598,1,0,0,rectangle,-34.39994024,2.399993598,1,0,0,-34.39994024,2.399993598,1,0,0,0,75,75,67,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8196,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,604,28.80001187,-59.20000732,1,0,0,response3disk,,4,-13.59998876,-6.400006533,1,0,0,rectangle,-13.59998876,-6.400006533,1,0,0,-13.59998876,-6.400006533,1,0,0,0,76,76,134,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.5692,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2672,-45.59998924,-63.20000738,1,0,0,response5disk,,3,-27.19998896,-16.00000668,1,0,0,rectangle,-27.19998896,-16.00000668,1,0,0,-27.19998896,-16.00000668,1,0,0,0,77,77,19,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4377,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1104,36.80001199,47.99999428,1,0,0,response1disk,,7,14.40001166,-1.600006461,1,0,0,rectangle,14.40001166,-1.600006461,1,0,0,14.40001166,-1.600006461,1,0,0,0,78,78,14,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2849,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3679,-19.19998884,-55.20000726,1,0,0,response5disk,,3,-11.19998872,-12.80000663,1,0,0,rectangle,-11.19998872,-12.80000663,1,0,0,-11.19998872,-12.80000663,1,0,0,0,79,79,68,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.285,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3616,21.60006059,-36.00000697,1,0,0,response3disk,,4,18.40001172,1.599993587,1,0,0,rectangle,18.40001172,1.599993587,1,0,0,18.40001172,1.599993587,1,0,0,0,80,80,104,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9582,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,4170,-58.3999406,-22.40000677,1,0,0,response5disk,,2,-30.39994018,10.39999372,1,0,0,rectangle,-30.39994018,10.39999372,1,0,0,-30.39994018,10.39999372,1,0,0,0,81,81,84,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.6425,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1226,-35.99998909,-24.00000679,1,0,0,response5disk,,2,-11.99998873,-7.200006545,1,0,0,rectangle,-11.99998873,-7.200006545,1,0,0,-11.99998873,-7.200006545,1,0,0,0,82,82,90,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5836,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1881,-84.79998982,-31.2000069,1,0,0,response5disk,,2,-3.199988604,1.599993587,1,0,0,rectangle,-3.199988604,1.599993587,1,0,0,-3.199988604,1.599993587,1,0,0,0,83,83,34,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.6535,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1651,14.40001166,-51.2000072,1,0,0,response3disk,,4,2.40001148,-7.200006545,1,0,0,rectangle,2.40001148,-7.200006545,1,0,0,2.40001148,-7.200006545,1,0,0,0,84,84,29,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9241,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3575,-23.1999889,-51.2000072,1,0,0,response5disk,,3,-23.1999889,-16.80000669,1,0,0,rectangle,-23.1999889,-16.80000669,1,0,0,-23.1999889,-16.80000669,1,0,0,0,85,85,155,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3404,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3197,-46.39994042,-13.60000664,1,0,0,response5disk,,2,-23.1999889,6.399993658,1,0,0,rectangle,-23.1999889,6.399993658,1,0,0,-23.1999889,6.399993658,1,0,0,0,86,86,54,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7363,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3287,-34.39994024,16.79999381,1,0,0,response7disk,,1,-16.79998881,8.799993694,1,0,0,rectangle,-16.79998881,8.799993694,1,0,0,-16.79998881,8.799993694,1,0,0,0,87,87,57,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.632,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3863,-28.79998899,-44.00000709,1,0,0,response5disk,,3,-26.39994012,-12.80000663,1,0,0,rectangle,-26.39994012,-12.80000663,1,0,0,-26.39994012,-12.80000663,1,0,0,0,88,88,89,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.6806,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2711,-35.19998908,-24.00000679,1,0,0,response5disk,,2,-23.99998891,-13.60000664,1,0,0,rectangle,-23.99998891,-13.60000664,1,0,0,-23.99998891,-13.60000664,1,0,0,0,89,89,41,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8751,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,873,-15.99998879,-31.2000069,1,0,0,response5disk,,3,-15.19998878,-12.80000663,1,0,0,rectangle,23.20001179,-52.80000722,1,0,0,8.000011563,-16.80000669,1,0,0,0,90,90,149,1,,response3disk_3,TRUE,4,4,"[21,309,118,265,116,296,246,55,29,240,62,304,16,177,91,258,185,62,33,136]",1.0731,rectangle,,
,,,,,,,,,,,,,FF,,,,,,,,0.5767,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1182,39.20001203,-17.6000067,1,0,0,response3disk,,5,27.20001185,0.799993575,1,0,0,rectangle,27.20001185,0.799993575,1,0,0,27.20001185,0.799993575,1,0,0,0,91,91,133,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7564,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,4021,-52.79998934,32.79999405,1,0,0,response7disk,,1,20.00001174,-6.400006533,1,0,0,rectangle,20.00001174,-6.400006533,1,0,0,20.00001174,-6.400006533,1,0,0,0,92,92,66,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.694,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3694,42.40001208,-24.00000679,1,0,0,response3disk,,5,19.20001173,-15.20000666,1,0,0,rectangle,19.20001173,-15.20000666,1,0,0,19.20001173,-15.20000666,1,0,0,0,93,93,38,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8685,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1992,36.80001199,16.79999381,1,0,0,response1disk,,6,13.60006047,9.599993706,1,0,0,rectangle,13.60006047,9.599993706,1,0,0,13.60006047,9.599993706,1,0,0,0,94,94,56,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.6232,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2168,-17.59998882,-52.80000722,1,0,0,response5disk,,3,-6.399939823,-10.40000659,1,0,0,rectangle,-6.399939823,-10.40000659,1,0,0,-6.399939823,-10.40000659,1,0,0,0,95,95,39,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8895,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,4000,-58.3999406,-17.6000067,1,0,0,response5disk,,2,-12.79998875,-2.400006473,1,0,0,rectangle,-12.79998875,-2.400006473,1,0,0,-12.79998875,-2.400006473,1,0,0,0,96,96,80,1,,,,,,,,,,
