key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
,,,,,,,,,,,,,FF,,,,,,,,1.931,,,,,,,,,,,,,,,,,,,,,,,,,5c5cad3e4ee81200018eafe2,60a7d8a0e00e07df34c64a83,2021-05-21_17h00.15.713,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3374,-83.5,-270.5,1,0,0,response5disk,,3,33.5,16.5,1,0,0,rectangle,33.5,16.5,1,0,0,6,"[71,135,167,160,183,133,22,49,147,141,109,62,281,40,58,188,125,148,200,19]",33.5,16.5,1,0,0,0,3,3,76,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.719,,,,,,,,,,,,,,,,,,,,,,,,,5c5cad3e4ee81200018eafe2,60a7d8a0e00e07df34c64a83,2021-05-21_17h00.15.713,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2681,253.5,-206.5,1,0,0,response3disk,,5,6.5,-3.5,1,0,0,rectangle,6.5,-3.5,1,0,0,0,"[71,135,167,160,183,133,22,49,147,141,109,62,281,40,58,188,125,148,200,19]",6.5,-3.5,1,0,0,0,4,4,118,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.921,,,,,,,,,,,,,,,,,,,,,,,,,5c5cad3e4ee81200018eafe2,60a7d8a0e00e07df34c64a83,2021-05-21_17h00.15.713,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,391,163.5,253.5,1,0,0,response1disk,,7,23.5,-0.5,1,0,0,rectangle,23.5,-0.5,1,0,0,2,"[71,135,167,160,183,133,22,49,147,141,109,62,281,40,58,188,125,148,200,19]",23.5,-0.5,1,0,0,0,5,5,137,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.181,,,,,,,,,,,,,,,,,,,,,,,,,5c5cad3e4ee81200018eafe2,60a7d8a0e00e07df34c64a83,2021-05-21_17h00.15.713,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3245,-80.5,-276.5,1,0,0,response5disk,,3,26.5,9.5,1,0,0,rectangle,26.5,9.5,1,0,0,4,"[71,135,167,160,183,133,22,49,147,141,109,62,281,40,58,188,125,148,200,19]",26.5,9.5,1,0,0,0,6,6,32,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,5c5cad3e4ee81200018eafe2,60a7d8a0e00e07df34c64a83,2021-05-21_17h00.15.713,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,740,246.5,-183.5,1,0,0,response3disk,,5,-16.5,-3.5,1,0,0,rectangle,-16.5,-3.5,1,0,0,2,"[71,135,167,160,183,133,22,49,147,141,109,62,281,40,58,188,125,148,200,19]",-16.5,-3.5,1,0,0,0,7,7,6,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,5c5cad3e4ee81200018eafe2,60a7d8a0e00e07df34c64a83,2021-05-21_17h00.15.713,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3832,259.5,-73.5,1,0,0,response3disk,,5,43.5,-0.5,1,0,0,rectangle,43.5,-0.5,1,0,0,0,"[71,135,167,160,183,133,22,49,147,141,109,62,281,40,58,188,125,148,200,19]",43.5,-0.5,1,0,0,0,8,8,24,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,5c5cad3e4ee81200018eafe2,60a7d8a0e00e07df34c64a83,2021-05-21_17h00.15.713,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3006,123.5,-283.5,1,0,0,response3disk,,4,26.5,-20.5,1,0,0,rectangle,26.5,-20.5,1,0,0,4,"[71,135,167,160,183,133,22,49,147,141,109,62,281,40,58,188,125,148,200,19]",26.5,-20.5,1,0,0,0,9,9,1,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.266,,,,,,,,,,,,,,,,,,,,,,,,,5c5cad3e4ee81200018eafe2,60a7d8a0e00e07df34c64a83,2021-05-21_17h00.15.713,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3183,186.5,273.5,1,0,0,response1disk,,7,33.5,3.5,1,0,0,rectangle,33.5,3.5,1,0,0,4,"[71,135,167,160,183,133,22,49,147,141,109,62,281,40,58,188,125,148,200,19]",33.5,3.5,1,0,0,0,10,10,134,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,5c5cad3e4ee81200018eafe2,60a7d8a0e00e07df34c64a83,2021-05-21_17h00.15.713,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1929,133.5,269.5,1,0,0,response1disk,,7,26.5,3.5,1,0,0,rectangle,26.5,3.5,1,0,0,3,"[71,135,167,160,183,133,22,49,147,141,109,62,281,40,58,188,125,148,200,19]",26.5,3.5,1,0,0,0,11,11,128,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,5c5cad3e4ee81200018eafe2,60a7d8a0e00e07df34c64a83,2021-05-21_17h00.15.713,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2417,113.5,203.5,1,0,0,response1disk,,7,13.5,-26.5,1,0,0,rectangle,13.5,-26.5,1,0,0,5,"[71,135,167,160,183,133,22,49,147,141,109,62,281,40,58,188,125,148,200,19]",13.5,-26.5,1,0,0,0,12,12,55,1,,,
