key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
,,,,,,,,,,,,,FF,,,,,,,,1.166065,,,,,,,,,,,,,,,,,,,,,,,,,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,397,94.40001285,28.79999399,1,0,0,response1disk,,6,-10.39993988,3.999993622,1,0,0,rectangle,-10.39993988,3.999993622,1,0,0,7,"[285,210,33,37,131,164,183,167,320,309,103,170,251,101,100,76,224,130,185,123]",-10.39993988,3.999993622,1,0,0,0,3,3,141,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.21623,,,,,,,,,,,,,,,,,,,,,,,,,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2514,40.00001204,-90.40000778,1,0,0,response3disk,,4,11.20001161,-8.000006557,1,0,0,rectangle,11.20001161,-8.000006557,1,0,0,6,"[285,210,33,37,131,164,183,167,320,309,103,170,251,101,100,76,224,130,185,123]",11.20001161,-8.000006557,1,0,0,0,4,4,105,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.065655,,,,,,,,,,,,,,,,,,,,,,,,,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2192,95.20001286,30.39999402,1,0,0,response1disk,,6,1.600060296,-2.400006473,1,0,0,rectangle,1.600060296,-2.400006473,1,0,0,7,"[285,210,33,37,131,164,183,167,320,309,103,170,251,101,100,76,224,130,185,123]",1.600060296,-2.400006473,1,0,0,0,5,5,133,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7993,,,,,,,,,,,,,,,,,,,,,,,,,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,4104,-66.39994072,-27.20000684,1,0,0,response5disk,,6,-4.799988627,0.799993575,1,0,0,rectangle,-4.799988627,0.799993575,1,0,0,7,"[285,210,33,37,131,164,183,167,320,309,103,170,251,101,100,76,224,130,185,123]",-4.799988627,0.799993575,1,0,0,0,6,6,62,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.615665,,,,,,,,,,,,,,,,,,,,,,,,,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1255,30.4000119,-71.2000075,1,0,0,response3disk,,4,7.200011551,-15.20000666,1,0,0,rectangle,7.200011551,-15.20000666,1,0,0,0,"[285,210,33,37,131,164,183,167,320,309,103,170,251,101,100,76,224,130,185,123]",7.200011551,-15.20000666,1,0,0,0,7,7,113,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.482565,,,,,,,,,,,,,,,,,,,,,,,,,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3986,89.60001278,-31.2000069,1,0,0,response3disk,,5,-10.39993988,-3.200006485,1,0,0,rectangle,-10.39993988,-3.200006485,1,0,0,2,"[285,210,33,37,131,164,183,167,320,309,103,170,251,101,100,76,224,130,185,123]",-10.39993988,-3.200006485,1,0,0,0,8,8,60,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.38326,,,,,,,,,,,,,,,,,,,,,,,,,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2413,40.00001204,-94.40000784,1,0,0,response3disk,,4,8.800011575,-7.200006545,1,0,0,rectangle,8.800011575,-7.200006545,1,0,0,3,"[285,210,33,37,131,164,183,167,320,309,103,170,251,101,100,76,224,130,185,123]",8.800011575,-7.200006545,1,0,0,0,9,9,139,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.34955,,,,,,,,,,,,,,,,,,,,,,,,,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3189,-78.3999409,-38.40000701,1,0,0,response5disk,,4,4.000011504,1.599993587,1,0,0,rectangle,4.000011504,1.599993587,1,0,0,3,"[285,210,33,37,131,164,183,167,320,309,103,170,251,101,100,76,224,130,185,123]",4.000011504,1.599993587,1,0,0,0,10,10,123,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.58236,,,,,,,,,,,,,,,,,,,,,,,,,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2402,79.20001262,-44.8000071,1,0,0,response3disk,,5,-12.79998875,3.999993622,1,0,0,rectangle,-12.79998875,3.999993622,1,0,0,7,"[285,210,33,37,131,164,183,167,320,309,103,170,251,101,100,76,224,130,185,123]",-12.79998875,3.999993622,1,0,0,0,11,11,140,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.34887,,,,,,,,,,,,,,,,,,,,,,,,,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3404,34.40001196,-101.6000568,1,0,0,response3disk,,4,4.000011504,4.799993634,1,0,0,rectangle,4.000011504,4.799993634,1,0,0,0,"[285,210,33,37,131,164,183,167,320,309,103,170,251,101,100,76,224,130,185,123]",4.000011504,4.799993634,1,0,0,0,12,12,74,1,,,
