key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
,,,,,,,,,,,,,FF,,,,,,,,1.634315,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,1192,-107,-216,1,0,0,response5disk,,3,28,-18,1,0,0,rectangle,28,-18,1,0,0,7,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",28,-18,1,0,0,0,3,3,150,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.17001,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,4351,-111,80,1,0,0,response7disk,,1,-24,4,1,0,0,rectangle,-24,4,1,0,0,6,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",-24,4,1,0,0,0,4,4,34,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.133615,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,536,-84,-157,1,0,0,response5disk,,3,55,-10,1,0,0,rectangle,55,-10,1,0,0,3,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",55,-10,1,0,0,0,5,5,84,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.08576,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,1834,-169,-105,1,0,0,response5disk,,3,17,-3,1,0,0,rectangle,17,-3,1,0,0,1,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",17,-3,1,0,0,0,6,6,145,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.751125,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,1279,-109,55,1,0,0,response7disk,,1,-22,-9,1,0,0,rectangle,-22,-9,1,0,0,5,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",-22,-9,1,0,0,0,7,7,133,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.092265,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,1597,-149,70,1,0,0,response7disk,,1,-10,-18,1,0,0,rectangle,-10,-18,1,0,0,5,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",-10,-18,1,0,0,0,8,8,98,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.24024,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,1781,128,-102,1,0,0,response3disk,,5,31,1,1,0,0,rectangle,31,1,1,0,0,5,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",31,1,1,0,0,0,9,9,65,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.336875,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,4154,68,49,1,0,0,response1disk,,6,-29,-19,1,0,0,rectangle,-29,-19,1,0,0,7,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",-29,-19,1,0,0,0,10,10,18,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.103355,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,4338,-141,70,1,0,0,response7disk,,1,20,-22,1,0,0,rectangle,20,-22,1,0,0,1,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",20,-22,1,0,0,0,11,11,143,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.50889,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,2650,96,-147,1,0,0,response3disk,,4,27,15,1,0,0,rectangle,27,15,1,0,0,6,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",27,15,1,0,0,0,12,12,81,1,,,
