key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
,,,,,,,,,,,,,FF,,,,,,,,1.49966,,,,,,,,,,,,,,,,,,,,,,,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,372,87.20001274,-53.00000617,1,0,0,response3disk,,5,-6.399939823,2.199970239,1,0,0,rectangle,-6.399939823,2.199970239,1,0,0,2,"[171,58,186,212,67,243,316,3,74,211,260,187,58,107,106,156,183,199,248,153]",-6.399939823,2.199970239,1,0,0,0,3,3,72,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.216125,,,,,,,,,,,,,,,,,,,,,,,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,2421,-71.99998963,-48.2000061,1,0,0,response5disk,,5,-18.39994,-5.000005454,1,0,0,rectangle,-18.39994,-5.000005454,1,0,0,0,"[171,58,186,212,67,243,316,3,74,211,260,187,58,107,106,156,183,199,248,153]",-18.39994,-5.000005454,1,0,0,0,4,4,139,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.216415,,,,,,,,,,,,,,,,,,,,,,,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,957,82.40001267,41.39999524,1,0,0,response1disk,,6,32.80001193,-1.000005394,1,0,0,rectangle,32.80001193,-1.000005394,1,0,0,1,"[171,58,186,212,67,243,316,3,74,211,260,187,58,107,106,156,183,199,248,153]",32.80001193,-1.000005394,1,0,0,0,5,5,40,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.26619,,,,,,,,,,,,,,,,,,,,,,,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,870,103.200013,-50.60005496,1,0,0,response3disk,,5,4.800011516,-1.000005394,1,0,0,rectangle,4.800011516,-1.000005394,1,0,0,4,"[171,58,186,212,67,243,316,3,74,211,260,187,58,107,106,156,183,199,248,153]",4.800011516,-1.000005394,1,0,0,0,6,6,26,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.216075,,,,,,,,,,,,,,,,,,,,,,,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,3075,52.80001223,85.39999589,1,0,0,response1disk,,7,4.000011504,2.199970239,1,0,0,rectangle,4.000011504,2.199970239,1,0,0,0,"[171,58,186,212,67,243,316,3,74,211,260,187,58,107,106,156,183,199,248,153]",4.000011504,2.199970239,1,0,0,0,7,7,140,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.933095,,,,,,,,,,,,,,,,,,,,,,,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,1622,29.60006071,88.59999594,1,0,0,response1disk,,7,16.00001168,-0.200005382,1,0,0,rectangle,16.00001168,-0.200005382,1,0,0,1,"[171,58,186,212,67,243,316,3,74,211,260,187,58,107,106,156,183,199,248,153]",16.00001168,-0.200005382,1,0,0,0,8,8,131,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.666005,,,,,,,,,,,,,,,,,,,,,,,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,2090,90.40001279,33.39999512,1,0,0,response1disk,,6,24.0000118,-5.000005454,1,0,0,rectangle,24.0000118,-5.000005454,1,0,0,0,"[171,58,186,212,67,243,316,3,74,211,260,187,58,107,106,156,183,199,248,153]",24.0000118,-5.000005454,1,0,0,0,9,9,124,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.949765,,,,,,,,,,,,,,,,,,,,,,,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,3572,67.20001245,38.19997078,1,0,0,response1disk,,6,10.4000116,-0.200005382,1,0,0,rectangle,10.4000116,-0.200005382,1,0,0,6,"[171,58,186,212,67,243,316,3,74,211,260,187,58,107,106,156,183,199,248,153]",10.4000116,-0.200005382,1,0,0,0,10,10,68,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.76659,,,,,,,,,,,,,,,,,,,,,,,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,1096,52.00001222,30.19997066,1,0,0,response1disk,,6,5.600060356,-9.000005513,1,0,0,rectangle,5.600060356,-9.000005513,1,0,0,4,"[171,58,186,212,67,243,316,3,74,211,260,187,58,107,106,156,183,199,248,153]",5.600060356,-9.000005513,1,0,0,0,11,11,154,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0666,,,,,,,,,,,,,,,,,,,,,,,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,2779,-27.99998897,-82.60005544,1,0,0,response5disk,,3,11.20001161,-8.200005502,1,0,0,rectangle,11.20001161,-8.200005502,1,0,0,6,"[171,58,186,212,67,243,316,3,74,211,260,187,58,107,106,156,183,199,248,153]",11.20001161,-8.200005502,1,0,0,0,12,12,52,1,,,
