key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
,,,,,,,,,,,,,FF,,,,,,,,2.4187,,,,,,,,,,,,,,,,,,,,,,,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,2926,102,-47,1,0,0,response3disk,,5,13,4,1,0,0,rectangle,13,4,1,0,0,7,"[187,203,155,201,96,150,274,97,307,184,144,25,297,275,87,155,301,227,44,78]",13,4,1,0,0,0,3,3,81,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.853075,,,,,,,,,,,,,,,,,,,,,,,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,622,-121,-47,1,0,0,response5disk,,5,-2,4,1,0,0,rectangle,-2,4,1,0,0,7,"[187,203,155,201,96,150,274,97,307,184,144,25,297,275,87,155,301,227,44,78]",-2,4,1,0,0,0,4,4,49,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.234595,,,,,,,,,,,,,,,,,,,,,,,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,866,56,-70,1,0,0,response3disk,,4,0,4,1,0,0,rectangle,0,4,1,0,0,6,"[187,203,155,201,96,150,274,97,307,184,144,25,297,275,87,155,301,227,44,78]",0,4,1,0,0,0,5,5,83,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.36755,,,,,,,,,,,,,,,,,,,,,,,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,4245,78,106,1,0,0,response1disk,,7,-12,13,1,0,0,rectangle,-12,13,1,0,0,0,"[187,203,155,201,96,150,274,97,307,184,144,25,297,275,87,155,301,227,44,78]",-12,13,1,0,0,0,6,6,26,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0009,,,,,,,,,,,,,,,,,,,,,,,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,3982,-43,-88,1,0,0,response5disk,,3,-12,8,1,0,0,rectangle,-12,8,1,0,0,0,"[187,203,155,201,96,150,274,97,307,184,144,25,297,275,87,155,301,227,44,78]",-12,8,1,0,0,0,7,7,87,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.250045,,,,,,,,,,,,,,,,,,,,,,,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,3962,42,-95,1,0,0,response3disk,,4,-3,0,1,0,0,rectangle,-3,0,1,0,0,0,"[187,203,155,201,96,150,274,97,307,184,144,25,297,275,87,155,301,227,44,78]",-3,0,1,0,0,0,8,8,50,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5009,,,,,,,,,,,,,,,,,,,,,,,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,578,38,-69,1,0,0,response3disk,,4,-8,6,1,0,0,rectangle,-8,6,1,0,0,6,"[187,203,155,201,96,150,274,97,307,184,144,25,297,275,87,155,301,227,44,78]",-8,6,1,0,0,0,9,9,109,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.235305,,,,,,,,,,,,,,,,,,,,,,,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,2469,116,-47,1,0,0,response3disk,,5,-10,5,1,0,0,rectangle,-10,5,1,0,0,1,"[187,203,155,201,96,150,274,97,307,184,144,25,297,275,87,155,301,227,44,78]",-10,5,1,0,0,0,10,10,76,1,,,
,,,,,,,,,,,,,FF,,,,,,,,4.671005,,,,,,,,,,,,,,,,,,,,,,,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,3979,51,-93,1,0,0,response3disk,,4,-5,10,1,0,0,rectangle,-5,10,1,0,0,0,"[187,203,155,201,96,150,274,97,307,184,144,25,297,275,87,155,301,227,44,78]",-5,10,1,0,0,0,11,11,79,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.68542,,,,,,,,,,,,,,,,,,,,,,,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,3987,90,-47,1,0,0,response3disk,,5,-6,8,1,0,0,rectangle,-6,8,1,0,0,3,"[187,203,155,201,96,150,274,97,307,184,144,25,297,275,87,155,301,227,44,78]",-6,8,1,0,0,0,12,12,32,1,,,
