key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
,,,,,,,,,,,,,FF,,,,,,,,1.87012,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3805,36,-67,1,0,0,response3disk,,4,-3,5,1,0,0,rectangle,-3,5,1,0,0,,4,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-3,5,1,0,0,,0,29,29,68,1,
,,,,,,,,,,,,,FF,,,,,,,,0.918585,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2708,88,-38,1,0,0,response3disk,,5,12,11,1,0,0,rectangle,12,11,1,0,0,,4,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",12,11,1,0,0,,0,30,30,65,1,
,,,,,,,,,,,,,FF,,,,,,,,1.7067,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3682,34,-102,1,0,0,response3disk,,4,-4,-9,1,0,0,rectangle,-4,-9,1,0,0,,4,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-4,-9,1,0,0,,0,31,31,88,1,
,,,,,,,,,,,,,FF,,,,,,,,1.28553,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,266,41,-91,1,0,0,response3disk,,4,-10,-8,1,0,0,rectangle,-10,-8,1,0,0,,6,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-10,-8,1,0,0,,0,32,32,139,1,
,,,,,,,,,,,,,FF,,,,,,,,0.93527,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3865,-46,-89,1,0,0,response5disk,,3,-6,-10,1,0,0,rectangle,-6,-10,1,0,0,,6,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-6,-10,1,0,0,,0,33,33,85,1,
,,,,,,,,,,,,,FF,,,,,,,,1.06892,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2441,97,-44,1,0,0,response3disk,,5,13,-7,1,0,0,rectangle,13,-7,1,0,0,,7,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",13,-7,1,0,0,,0,34,34,121,1,
,,,,,,,,,,,,,FF,,,,,,,,1.168955,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1388,35,-82,1,0,0,response3disk,,4,-6,-5,1,0,0,rectangle,-6,-5,1,0,0,,1,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-6,-5,1,0,0,,0,35,35,146,1,
,,,,,,,,,,,,,FF,,,,,,,,0.95193,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1873,83,39,1,0,0,response1disk,,6,-1,-10,1,0,0,rectangle,-1,-10,1,0,0,,3,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-1,-10,1,0,0,,0,36,36,45,1,
,,,,,,,,,,,,,FF,,,,,,,,1.05345,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2936,-34,-78,1,0,0,response5disk,,3,-3,-5,1,0,0,rectangle,-3,-5,1,0,0,,5,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-3,-5,1,0,0,,0,37,37,160,1,
,,,,,,,,,,,,,FF,,,,,,,,5.862415,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3760,62,-42,1,0,0,response3disk,,5,11,-11,1,0,0,rectangle,11,-11,1,0,0,,1,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",11,-11,1,0,0,,0,38,38,114,1,
,,,,,,,,,,,,,FF,,,,,,,,1.553045,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,667,80,-47,1,0,0,response3disk,,5,-5,-2,1,0,0,rectangle,-5,-2,1,0,0,,3,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-5,-2,1,0,0,,0,39,39,155,1,
,,,,,,,,,,,,,FF,,,,,,,,1.58604,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3589,49,-65,1,0,0,response3disk,,4,11,-10,1,0,0,rectangle,11,-10,1,0,0,,6,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",11,-10,1,0,0,,0,40,40,89,1,
,,,,,,,,,,,,,FF,,,,,,,,1.370395,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,4203,-41,-77,1,0,0,response5disk,,3,-7,-9,1,0,0,rectangle,-7,-9,1,0,0,,2,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-7,-9,1,0,0,,0,41,41,135,1,
,,,,,,,,,,,,,FF,,,,,,,,1.235875,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3092,-35,-63,1,0,0,response5disk,,3,1,-8,1,0,0,rectangle,1,-8,1,0,0,,5,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",1,-8,1,0,0,,0,42,42,118,1,
,,,,,,,,,,,,,FF,,,,,,,,1.23576,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3138,-29,-73,1,0,0,response5disk,,3,2,-6,1,0,0,rectangle,2,-6,1,0,0,,1,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",2,-6,1,0,0,,0,43,43,59,1,
,,,,,,,,,,,,,FF,,,,,,,,1.470145,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1226,35,-66,1,0,0,response3disk,,4,-3,-9,1,0,0,rectangle,-3,-9,1,0,0,,6,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-3,-9,1,0,0,,0,44,44,30,1,
,,,,,,,,,,,,,FF,,,,,,,,1.151935,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2422,31,-54,1,0,0,response3disk,,4,2,-8,1,0,0,rectangle,2,-8,1,0,0,,7,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",2,-8,1,0,0,,0,45,45,151,1,
,,,,,,,,,,,,,FF,,,,,,,,3.072215,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2437,105,31,1,0,0,response1disk,,6,14,1,1,0,0,rectangle,14,1,1,0,0,,3,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",14,1,1,0,0,,0,46,46,93,1,
,,,,,,,,,,,,,FF,,,,,,,,1.05231,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2913,79,-42,1,0,0,response3disk,,5,11,0,1,0,0,rectangle,11,0,1,0,0,,2,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",11,0,1,0,0,,0,47,47,110,1,
,,,,,,,,,,,,,FF,,,,,,,,2.154275,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1224,105,-38,1,0,0,response3disk,,5,22,-4,1,0,0,rectangle,22,-4,1,0,0,,2,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",22,-4,1,0,0,,0,48,48,126,1,
,,,,,,,,,,,,,FF,,,,,,,,1.31937,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,990,38,-89,1,0,0,response3disk,,4,1,-7,1,0,0,rectangle,1,-7,1,0,0,,5,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",1,-7,1,0,0,,0,49,49,124,1,
,,,,,,,,,,,,,FF,,,,,,,,0.95213,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1771,100,-40,1,0,0,response3disk,,5,7,-2,1,0,0,rectangle,7,-2,1,0,0,,4,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",7,-2,1,0,0,,0,50,50,13,1,
,,,,,,,,,,,,,FF,,,,,,,,1.31998,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,758,74,48,1,0,0,response1disk,,6,6,-9,1,0,0,rectangle,6,-9,1,0,0,,0,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",6,-9,1,0,0,,0,51,51,159,1,
,,,,,,,,,,,,,FF,,,,,,,,1.102215,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3096,-42,71,1,0,0,response7disk,,0,3,-11,1,0,0,rectangle,3,-11,1,0,0,,2,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",3,-11,1,0,0,,0,52,52,123,1,
,,,,,,,,,,,,,FF,,,,,,,,1.619935,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2933,-46,-63,1,0,0,response5disk,,3,-12,-7,1,0,0,rectangle,-12,-7,1,0,0,,3,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-12,-7,1,0,0,,0,53,53,76,1,
,,,,,,,,,,,,,FF,,,,,,,,1.034815,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,930,88,-47,1,0,0,response3disk,,5,5,-4,1,0,0,rectangle,5,-4,1,0,0,,5,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",5,-4,1,0,0,,0,54,54,80,1,
,,,,,,,,,,,,,FF,,,,,,,,1.36925,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3440,86,-46,1,0,0,response3disk,,5,12,0,1,0,0,rectangle,12,0,1,0,0,,7,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",12,0,1,0,0,,0,55,55,97,1,
,,,,,,,,,,,,,FF,,,,,,,,0.80162,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,4365,-37,83,1,0,0,response7disk,,0,0,0,1,0,0,rectangle,0,0,1,0,0,,0,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",0,0,1,0,0,,0,56,56,67,1,
,,,,,,,,,,,,,FF,,,,,,,,1.536205,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,5,-43,-62,1,0,0,response5disk,,3,0,6,1,0,0,rectangle,-47,121,1,0,0,response7disk_3,0,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",0,1,1,0,0,rectangle,0,57,57,82,1,
,,,,,,,,,,,,,FF,,,,,,,,2.054075,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2743,88,-39,1,0,0,response3disk,,5,8,-9,1,0,0,rectangle,8,-9,1,0,0,,5,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",8,-9,1,0,0,,0,58,58,62,1,
,,,,,,,,,,,,,FF,,,,,,,,1.001885,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,652,89,-42,1,0,0,response3disk,,5,19,-1,1,0,0,rectangle,19,-1,1,0,0,,7,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",19,-1,1,0,0,,0,59,59,27,1,
,,,,,,,,,,,,,FF,,,,,,,,0.935185,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,318,118,51,1,0,0,response1disk,,6,17,-8,1,0,0,rectangle,17,-8,1,0,0,,7,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",17,-8,1,0,0,,0,60,60,132,1,
,,,,,,,,,,,,,FF,,,,,,,,0.88527,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,129,108,42,1,0,0,response1disk,,6,16,-9,1,0,0,rectangle,16,-9,1,0,0,,1,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",16,-9,1,0,0,,0,61,61,109,1,
,,,,,,,,,,,,,FF,,,,,,,,1.08565,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1298,-62,39,1,0,0,response7disk,,1,4,-7,1,0,0,rectangle,4,-7,1,0,0,,0,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",4,-7,1,0,0,,0,62,62,111,1,
,,,,,,,,,,,,,FF,,,,,,,,1.40235,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2150,68,-40,1,0,0,response3disk,,5,6,-6,1,0,0,rectangle,6,-6,1,0,0,,7,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",6,-6,1,0,0,,0,63,63,52,1,
,,,,,,,,,,,,,FF,,,,,,,,1.03544,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2519,84,38,1,0,0,response1disk,,6,10,-3,1,0,0,rectangle,45,-87,1,0,0,response3disk_3,4,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-4,-3,1,0,0,rectangle,0,64,64,69,1,
,,,,,,,,,,,,,FF,,,,,,,,1.118935,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1336,66,-39,1,0,0,response3disk,,5,2,-13,1,0,0,rectangle,2,-13,1,0,0,,5,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",2,-13,1,0,0,,0,65,65,136,1,
,,,,,,,,,,,,,FF,,,,,,,,2.287975,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,705,51,-70,1,0,0,response3disk,,4,13,-12,1,0,0,rectangle,13,-12,1,0,0,,1,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",13,-12,1,0,0,,0,66,66,119,1,
,,,,,,,,,,,,,FF,,,,,,,,1.953955,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2308,49,-67,1,0,0,response3disk,,4,16,-10,1,0,0,rectangle,43,-87,1,0,0,response3disk_3,4,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",2,-5,1,0,0,rectangle,0,67,67,66,1,
,,,,,,,,,,,,,FF,,,,,,,,4.893475,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,969,92,36,1,0,0,response1disk,,6,25,2,1,0,0,rectangle,25,2,1,0,0,,0,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",25,2,1,0,0,,0,68,68,91,1,
,,,,,,,,,,,,,FF,,,,,,,,1.908195,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1366,86,43,1,0,0,response1disk,,6,-12,2,1,0,0,rectangle,-12,2,1,0,0,,0,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-12,2,1,0,0,,0,69,69,92,1,
,,,,,,,,,,,,,FF,,,,,,,,2.26834,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,559,95,-43,1,0,0,response3disk,,5,-11,0,1,0,0,rectangle,-11,0,1,0,0,,5,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-11,0,1,0,0,,0,70,70,19,1,
,,,,,,,,,,,,,FF,,,,,,,,1.75384,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3793,76,-35,1,0,0,response3disk,,5,6,-11,1,0,0,rectangle,6,-11,1,0,0,,5,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",6,-11,1,0,0,,0,71,71,143,1,
,,,,,,,,,,,,,FF,,,,,,,,1.13626,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3548,90,-40,1,0,0,response3disk,,5,6,-2,1,0,0,rectangle,6,-2,1,0,0,,5,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",6,-2,1,0,0,,0,72,72,148,1,
,,,,,,,,,,,,,FF,,,,,,,,0.804125,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1325,73,-47,1,0,0,response3disk,,5,7,-7,1,0,0,rectangle,7,-7,1,0,0,,3,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",7,-7,1,0,0,,0,73,73,144,1,
,,,,,,,,,,,,,FF,,,,,,,,1.136735,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,422,71,-46,1,0,0,response3disk,,5,-5,1,1,0,0,rectangle,-5,1,1,0,0,,2,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-5,1,1,0,0,,0,74,74,156,1,
,,,,,,,,,,,,,FF,,,,,,,,0.95633,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,784,46,-81,1,0,0,response3disk,,4,-3,-2,1,0,0,rectangle,-3,-2,1,0,0,,1,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-3,-2,1,0,0,,0,75,75,24,1,
,,,,,,,,,,,,,FF,,,,,,,,1.83786,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,16,75,-50,1,0,0,response3disk,,5,-5,-4,1,0,0,rectangle,-5,-4,1,0,0,,3,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-5,-4,1,0,0,,0,76,76,94,1,
