key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
,,,,,,,,,,,,,FF,,,,,,,,2.684,,,,,,,,,,,,,,,,,,,,,,,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,1871,99,55,1,0,0,response1disk,,6,1,1,1,0,0,rectangle,1,1,1,0,0,5,"[121,26,162,24,247,263,232,309,24,226,216,228,66,267,304,72,135,209,47,212]",1,1,1,0,0,0,3,3,98,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.666,,,,,,,,,,,,,,,,,,,,,,,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,3610,90,-46,1,0,0,response3disk,,5,7,8,1,0,0,rectangle,7,8,1,0,0,0,"[121,26,162,24,247,263,232,309,24,226,216,228,66,267,304,72,135,209,47,212]",7,8,1,0,0,0,4,4,127,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.15,,,,,,,,,,,,,,,,,,,,,,,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,4170,-78,-53,1,0,0,response5disk,,5,-2,5,1,0,0,rectangle,-2,5,1,0,0,2,"[121,26,162,24,247,263,232,309,24,226,216,228,66,267,304,72,135,209,47,212]",-2,5,1,0,0,0,5,5,92,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.449,,,,,,,,,,,,,,,,,,,,,,,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,792,87,28,1,0,0,response1disk,,6,-6,2,1,0,0,rectangle,-6,2,1,0,0,6,"[121,26,162,24,247,263,232,309,24,226,216,228,66,267,304,72,135,209,47,212]",-6,2,1,0,0,0,6,6,8,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.799,,,,,,,,,,,,,,,,,,,,,,,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,604,86,57,1,0,0,response1disk,,6,7,3,1,0,0,rectangle,7,3,1,0,0,4,"[121,26,162,24,247,263,232,309,24,226,216,228,66,267,304,72,135,209,47,212]",7,3,1,0,0,0,7,7,113,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.548,,,,,,,,,,,,,,,,,,,,,,,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,584,42,70,1,0,0,response1disk,,7,1,-4,1,0,0,rectangle,1,-4,1,0,0,5,"[121,26,162,24,247,263,232,309,24,226,216,228,66,267,304,72,135,209,47,212]",1,-4,1,0,0,0,8,8,60,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,1634,46,76,1,0,0,response1disk,,7,-1,-7,1,0,0,rectangle,-1,-7,1,0,0,0,"[121,26,162,24,247,263,232,309,24,226,216,228,66,267,304,72,135,209,47,212]",-1,-7,1,0,0,0,9,9,123,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.434,,,,,,,,,,,,,,,,,,,,,,,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,3382,-82,-27,1,0,0,response5disk,,7,2,-1,1,0,0,rectangle,2,-1,1,0,0,3,"[121,26,162,24,247,263,232,309,24,226,216,228,66,267,304,72,135,209,47,212]",2,-1,1,0,0,0,10,10,158,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.965,,,,,,,,,,,,,,,,,,,,,,,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,3993,-39,63,1,0,0,response7disk,,0,7,-2,1,0,0,rectangle,7,-2,1,0,0,0,"[121,26,162,24,247,263,232,309,24,226,216,228,66,267,304,72,135,209,47,212]",7,-2,1,0,0,0,11,11,136,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,2194,86,40,1,0,0,response1disk,,6,0,0,1,0,0,rectangle,0,0,1,0,0,3,"[121,26,162,24,247,263,232,309,24,226,216,228,66,267,304,72,135,209,47,212]",0,0,1,0,0,0,12,12,71,1,,,
